zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost
58122,Zoloft,0,0,N/A,Sertraline Hcl,98332.0,17373.83,0.18
92806,Zoloft,0,0,N/A,Sertraline Hcl,11329.0,2050.36,0.18
77845,Zoloft,0,0,N/A,Sertraline Hcl,62934.0,11250.18,0.18
38120,Zoloft,0,0,N/A,Sertraline Hcl,479991.0,85512.96,0.18
34285,Zoloft,420.0,4862.76,11.58,Sertraline Hcl,73560.0,11545.0,0.16
27577,Zoloft,0,0,N/A,Sertraline Hcl,81339.0,17679.68,0.22
79424,Zoloft,0,0,N/A,Sertraline Hcl,81275.0,28107.09,0.35
33484,Zoloft,0,0,N/A,Sertraline Hcl,195959.0,38213.77,0.2
01830,Zoloft,0,0,N/A,Sertraline Hcl,144689.0,28338.68,0.2
82331,Zoloft,0,0,N/A,Sertraline Hcl,2172.0,475.83,0.22
15010,Zoloft,0,0,N/A,Sertraline Hcl,87154.0,22825.31,0.26
95816,Zoloft,0,0,N/A,Sertraline Hcl,87882.0,18527.92,0.21
83301,Zoloft,0,0,N/A,Sertraline Hcl,109397.0,17773.74,0.16
30076,Zoloft,0,0,N/A,Sertraline Hcl,158087.0,28218.51,0.18
94305,Zoloft,440.0,10559.87,24.0,Sertraline Hcl,83380.0,17828.91,0.21
94710,Zoloft,0,0,N/A,Sertraline Hcl,17088.0,4214.99,0.25
21201,Zoloft,0,0,N/A,Sertraline Hcl,122091.0,29147.39,0.24
25314,Zoloft,0,0,N/A,Sertraline Hcl,8546.0,2414.18,0.28
60540,Zoloft,0,0,N/A,Sertraline Hcl,134177.0,27449.84,0.2
64184,Zoloft,0,0,N/A,Sertraline Hcl,244669.0,51511.51,0.21
02148,Zoloft,0,0,N/A,Sertraline Hcl,78561.0,15377.0,0.2
19131,Zoloft,0,0,N/A,Sertraline Hcl,38734.0,10724.94,0.28
17402,Zoloft,0,0,N/A,Sertraline Hcl,1055060.0,214603.82,0.2
96815,Zoloft,0,0,N/A,Sertraline Hcl,10367.0,2293.22,0.22
49009,Zoloft,1288.0,19255.49,14.95,Sertraline Hcl,304950.0,71194.03,0.23
34734,Zoloft,0,0,N/A,Sertraline Hcl,31772.0,4705.1,0.15
48317,Zoloft,0,0,N/A,Sertraline Hcl,27353.0,5849.77,0.21
83619,Zoloft,0,0,N/A,Sertraline Hcl,2796.0,477.94,0.17
79707,Zoloft,0,0,N/A,Sertraline Hcl,24625.0,5161.42,0.21
17033,Zoloft,0,0,N/A,Sertraline Hcl,401171.0,75341.59,0.19
75605,Zoloft,0,0,N/A,Sertraline Hcl,82742.0,16522.2,0.2
46322,Zoloft,0,0,N/A,Sertraline Hcl,42938.0,10143.42,0.24
35630,Zoloft,0,0,N/A,Sertraline Hcl,176391.0,28580.19,0.16
85718,Zoloft,0,0,N/A,Sertraline Hcl,51397.0,13697.63,0.27
42303,Zoloft,0,0,N/A,Sertraline Hcl,229642.0,42595.69,0.19
96001,Zoloft,0,0,N/A,Sertraline Hcl,195992.0,38613.93,0.2
