zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,lat,lon
92806,Aricept,0,0,N/A,Donepezil Hcl,17314,3570.47,0.21,0.0,33.835465,-117.87362
77845,Aricept,0,0,N/A,Donepezil Hcl,30154,10970.48,0.36,0.0,30.571905,-96.29882
38120,Aricept,0,0,N/A,Donepezil Hcl,360092,109699.46,0.3,0.0,35.124818,-89.86562
34285,Aricept,0,0,N/A,Donepezil Hcl,34219,9601.51,0.28,0.0,27.091783,-82.44846
27577,Aricept,0,0,N/A,Donepezil Hcl,29689,6209.81,0.21,0.0,35.506459,-78.34446
79424,Aricept,0,0,N/A,Donepezil Hcl,50608,26393.88,0.52,0.0,33.513337,-101.93239
33484,Aricept,356,6415.93,18.02,Donepezil Hcl,95462,24563.21,0.26,0.371538,26.458152,-80.1356
01830,Aricept,0,0,N/A,Donepezil Hcl,28515,12481.68,0.44,0.0,42.78519,-71.07011
15010,Aricept,0,0,N/A,Donepezil Hcl,36606,15159.04,0.41,0.0,40.763899,-80.33572
95816,Aricept,0,0,N/A,Donepezil Hcl,72268,18541.57,0.26,0.0,38.571661,-121.46827
83301,Aricept,0,0,N/A,Donepezil Hcl,34953,16878.31,0.48,0.0,42.530288,-114.47509
30076,Aricept,0,0,N/A,Donepezil Hcl,60038,21065.33,0.35,0.0,34.032532,-84.31774
94305,Aricept,0,0,N/A,Donepezil Hcl,64112,16213.84,0.25,0.0,37.427039,-122.16496
94710,Aricept,0,0,N/A,Donepezil Hcl,9047,4089.5,0.45,0.0,37.869976,-122.2981
21201,Aricept,0,0,N/A,Donepezil Hcl,55846,23557.1,0.42,0.0,39.295306,-76.62118
25314,Aricept,0,0,N/A,Donepezil Hcl,3065,892.27,0.29,0.0,38.335969,-81.66084
60540,Aricept,0,0,N/A,Donepezil Hcl,129102,39872.84,0.31,0.0,41.764779,-88.14579
64184,Aricept,0,0,N/A,Donepezil Hcl,106612,33444.09,0.31,0.0,39.035038,-94.356728
02148,Aricept,0,0,N/A,Donepezil Hcl,14415,7528.67,0.52,0.0,42.428549,-71.06059
19131,Aricept,0,0,N/A,Donepezil Hcl,6776,5749.57,0.85,0.0,39.981112,-75.22486
17402,Aricept,0,0,N/A,Donepezil Hcl,355010,140048.49,0.39,0.0,39.976898,-76.67785
96815,Aricept,0,0,N/A,Donepezil Hcl,1659,824.84,0.5,0.0,21.2782,-157.82199
49009,Aricept,0,0,N/A,Donepezil Hcl,122055,64720.78,0.53,0.0,42.272538,-85.69255
34734,Aricept,0,0,N/A,Donepezil Hcl,16223,3355.92,0.21,0.0,28.543429,-81.52479
48317,Aricept,0,0,N/A,Donepezil Hcl,12240,4159.4,0.34,0.0,42.639777,-83.04255
79707,Aricept,0,0,N/A,Donepezil Hcl,16347,3575.31,0.22,0.0,32.021056,-102.16008
17033,Aricept,0,0,N/A,Donepezil Hcl,99433,37498.99,0.38,0.0,40.277923,-76.6434
75605,Aricept,0,0,N/A,Donepezil Hcl,41138,13289.79,0.32,0.0,32.557684,-94.74353
46322,Aricept,0,0,N/A,Donepezil Hcl,42284,20771.81,0.49,0.0,41.549851,-87.45806
35630,Aricept,0,0,N/A,Donepezil Hcl,92215,25254.78,0.27,0.0,34.817537,-87.66253
85718,Aricept,0,0,N/A,Donepezil Hcl,173994,50435.75,0.29,0.0,32.31346,-110.92282
42303,Aricept,0,0,N/A,Donepezil Hcl,93264,35603.03,0.38,0.0,37.758568,-87.08714
96001,Aricept,0,0,N/A,Donepezil Hcl,73226,21593.29,0.29,0.0,40.56816,-122.41519
33407,Aricept,690,11814.09,17.12,Donepezil Hcl,126750,28320.88,0.22,0.541431,26.750991,-80.07296
37055,Aricept,0,0,N/A,Donepezil Hcl,40684,16699.58,0.41,0.0,36.065779,-87.40831
28604,Aricept,0,0,N/A,Donepezil Hcl,7066,1463.91,0.21,0.0,36.166515,-81.84672
02910,Aricept,0,0,N/A,Donepezil Hcl,21246,6036.44,0.28,0.0,41.776867,-71.43672
75231,Aricept,0,0,N/A,Donepezil Hcl,331215,91844.21,0.28,0.0,32.874317,-96.74764
81601,Aricept,0,0,N/A,Donepezil Hcl,11698,5337.91,0.46,0.0,39.533318,-107.32107
11023,Aricept,0,0,N/A,Donepezil Hcl,24839,9632.46,0.39,0.0,40.798839,-73.73352
34995,Aricept,0,0,N/A,Donepezil Hcl,157105,35984.49,0.23,0.0,27.17537,-80.241512
